						tonality	use	
Johann Sebastian Bach	French Suite No. 5 in G Major	train	2004	2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_05_Track05_wav.midi	968.256759	major	yes	good for melody
Sergei Rachmaninoff	"Etude-Tableaux, Opus 33 No. 3 in C Minor"	validation	2004	2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_06_Track06_wav.midi	267.4383136	minor	not at start	
Sergei Rachmaninoff	"Etude-Tableaux, Opus 39 No. 8 in D Minor"	test	2004	2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_08_Track08_wav.midi	190.8520011	discordant	no	
Robert Schumann	"Toccata in C Major, Opus 7"	test	2004	2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_10_Track10_wav.midi	312.6550606	major	yes	
Frédéric Chopin	"12 Etudes, Op. 25"	train	2004	2004/MIDI-Unprocessed_SMF_05_R1_2004_01_ORIG_MID--AUDIO_05_R1_2004_02_Track02_wav.midi	1409.288578	major	yes	
Frédéric Chopin	"12 Etudes, Op. 25"	train	2004	2004/MIDI-Unprocessed_SMF_05_R1_2004_01_ORIG_MID--AUDIO_05_R1_2004_03_Track03_wav.midi	327.3270258	minor/chromatic	not at start	
Franz Liszt	Mephisto Waltz No. 1	train	2004	2004/MIDI-Unprocessed_SMF_05_R1_2004_02-03_ORIG_MID--AUDIO_05_R1_2004_06_Track06_wav.midi	621.447953	changes	not at start	
Johannes Brahms	"Sonata in F Minor, Op. 5"	train	2004	2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_02_Track02_wav.midi	477.4953863	minor	possibly	
Johannes Brahms	"Sonata in F Minor, Op. 5"	train	2004	2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_04_Track04_wav.midi	994.1402297	minor	yes	good for melody
Johannes Brahms	"Sonata in F Minor, Op. 5"	train	2004	2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_06_Track06_wav.midi	662.2747557	minor	yes	good for melody
Alexander Scriabin	"Sonata No. 5 in F-sharp Minor, Op. 53"	train	2004	2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_12_Track12_wav.midi	659.8356603	discordant	not at start	
Wolfgang Amadeus Mozart	"Sonata in F Major, K533"	validation	2004	2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_03_Track03_wav--1.midi	1139.198478	major	yes	good for melody
Frédéric Chopin	"Ballade No. 1 in G Minor, Op. 23"	train	2004	2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_07_Track07_wav.midi	551.6490137	minor	yes	
Claude Debussy	"Preludes No. 2, 6, 12"	train	2004	2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_08_Track08_wav.midi	338.2618226	minor	yes	good for melody
